algorithm,cost_complexity,dataset,depth,leaves,terminal_calls,time,timeout,train_mse
osrt,0.01,enb-cool.csv,3,5,0,1.641,100,7.757743377720085
osrt,0.01,enb-cool.csv,3,5,0,1.872,100,7.757743377720085
osrt,0.1,enb-cool.csv,3,2,0,0.843,100,17.857295567864593
osrt,0.1,enb-cool.csv,3,2,0,0.057,100,17.857295567864593
osrt,0.1,enb-cool.csv,3,2,0,0.308,100,17.857295567864593
osrt,0.0001,enb-cool.csv,4,16,0,10.438,100,4.2155604402634905
osrt,0.0001,enb-cool.csv,4,16,0,8.65,100,4.2155604402634905
osrt,0.0001,enb-cool.csv,4,16,0,8.229,100,4.2155604402634905
osrt,0.001,enb-cool.csv,4,14,0,6.156,100,4.276315516499854
osrt,0.001,enb-cool.csv,4,14,0,6.226,100,4.276315516499854
osrt,0.001,enb-cool.csv,4,14,0,6.366,100,4.276315516499854
osrt,0.005,enb-cool.csv,4,8,0,4.423,100,5.373589801035259
osrt,0.005,enb-cool.csv,4,8,0,5.412,100,5.373589801035259
osrt,0.005,enb-cool.csv,4,8,0,4.798,100,5.373589801035259
osrt,0.01,enb-cool.csv,4,6,0,3.571,100,6.659862977465983
osrt,0.01,enb-cool.csv,4,6,0,3.758,100,6.659862977465983
osrt,0.01,enb-cool.csv,4,6,0,3.931,100,6.659862977465983
osrt,0.1,enb-cool.csv,4,2,0,0.016,100,17.857295567864593
osrt,0.1,enb-cool.csv,4,2,0,0.074,100,17.857295567864593
osrt,0.1,enb-cool.csv,4,2,0,0.098,100,17.857295567864593
osrt,0.0001,enb-cool.csv,5,28,0,54.991,100,2.7265550925775393
osrt,0.0001,enb-cool.csv,5,28,0,84.287,100,2.7265550925775393
osrt,0.0001,enb-cool.csv,5,28,0,65.184,100,2.7265550925775393
osrt,0.001,enb-cool.csv,5,20,0,51.508,100,3.13655895022386
osrt,0.001,enb-cool.csv,5,20,0,43.199,100,3.13655895022386
osrt,0.001,enb-cool.csv,5,20,0,40.649,100,3.13655895022386
osrt,0.005,enb-cool.csv,5,9,0,20.135,100,4.918274745383127
osrt,0.005,enb-cool.csv,5,9,0,21.799,100,4.918274745383127
osrt,0.005,enb-cool.csv,5,9,0,19.537,100,4.918274745383127
osrt,0.01,enb-cool.csv,5,6,0,15.215,100,6.659862977465983
osrt,0.01,enb-cool.csv,5,6,0,15.346,100,6.659862977465983
osrt,0.01,enb-cool.csv,5,6,0,13.865,100,6.659862977465983
osrt,0.1,enb-cool.csv,5,2,0,3.378,100,17.857295567864593
osrt,0.1,enb-cool.csv,5,2,0,0.017,100,17.857295567864593
osrt,0.1,enb-cool.csv,5,2,0,0.023,100,17.857295567864593
osrt,0.0001,enb-cool.csv,6,-1,-1,101,100,-1
osrt,0.0001,enb-cool.csv,6,-1,-1,101,100,-1
osrt,0.0001,enb-cool.csv,6,-1,-1,101,100,-1
osrt,0.001,enb-cool.csv,6,-1,-1,101,100,-1
osrt,0.001,enb-cool.csv,6,-1,-1,101,100,-1
osrt,0.001,enb-cool.csv,6,-1,-1,101,100,-1
osrt,0.005,enb-cool.csv,6,-1,-1,101,100,-1
osrt,0.005,enb-cool.csv,6,-1,-1,101,100,-1
osrt,0.005,enb-cool.csv,6,9,0,95.629,100,4.918274745383127
osrt,0.01,enb-cool.csv,6,6,0,36.102,100,6.659862977465983
osrt,0.01,enb-cool.csv,6,6,0,30.606,100,6.659862977465983
osrt,0.01,enb-cool.csv,6,6,0,31.833,100,6.659862977465983
osrt,0.1,enb-cool.csv,6,2,0,0.04,100,17.857295567864593
osrt,0.1,enb-cool.csv,6,2,0,0.064,100,17.857295567864593
osrt,0.1,enb-cool.csv,6,2,0,0.3,100,17.857295567864593
osrt,0.0001,enb-cool.csv,7,-1,-1,101,100,-1
osrt,0.0001,enb-cool.csv,7,-1,-1,101,100,-1
osrt,0.0001,enb-cool.csv,7,-1,-1,101,100,-1
osrt,0.001,enb-cool.csv,7,-1,-1,101,100,-1
osrt,0.001,enb-cool.csv,7,-1,-1,101,100,-1
osrt,0.001,enb-cool.csv,7,-1,-1,101,100,-1
osrt,0.005,enb-cool.csv,7,-1,-1,101,100,-1
osrt,0.005,enb-cool.csv,7,-1,-1,101,100,-1
osrt,0.005,enb-cool.csv,7,-1,-1,101,100,-1
osrt,0.01,enb-cool.csv,7,6,0,52.667,100,6.659862977465983
osrt,0.01,enb-cool.csv,7,6,0,49.716,100,6.659862977465983
osrt,0.01,enb-cool.csv,7,6,0,47.104,100,6.659862977465983
osrt,0.1,enb-cool.csv,7,2,0,0.076,100,17.857295567864593
osrt,0.1,enb-cool.csv,7,2,0,1.775,100,17.857295567864593
osrt,0.1,enb-cool.csv,7,2,0,0.096,100,17.857295567864593
osrt,0.0001,enb-cool.csv,8,-1,-1,101,100,-1
osrt,0.0001,enb-cool.csv,8,-1,-1,101,100,-1
osrt,0.0001,enb-cool.csv,8,-1,-1,101,100,-1
osrt,0.001,enb-cool.csv,8,-1,-1,101,100,-1
osrt,0.001,enb-cool.csv,8,-1,-1,101,100,-1
osrt,0.001,enb-cool.csv,8,-1,-1,101,100,-1
osrt,0.005,enb-cool.csv,8,-1,-1,101,100,-1
osrt,0.005,enb-cool.csv,8,-1,-1,101,100,-1
osrt,0.005,enb-cool.csv,8,-1,-1,101,100,-1
osrt,0.01,enb-cool.csv,8,6,0,50.093,100,6.659862977465983
osrt,0.01,enb-cool.csv,8,6,0,51.294,100,6.659862977465983
osrt,0.01,enb-cool.csv,8,6,0,65.24,100,6.659862977465983
osrt,0.1,enb-cool.csv,8,2,0,0.064,100,17.857295567864593
osrt,0.1,enb-cool.csv,8,2,0,0.05,100,17.857295567864593
osrt,0.1,enb-cool.csv,8,2,0,0.052,100,17.857295567864593
osrt,0.0001,enb-cool.csv,9,-1,-1,101,100,-1
osrt,0.0001,enb-cool.csv,9,-1,-1,101,100,-1
osrt,0.0001,enb-cool.csv,9,-1,-1,101,100,-1
osrt,0.001,enb-cool.csv,9,-1,-1,101,100,-1
osrt,0.001,enb-cool.csv,9,-1,-1,101,100,-1
osrt,0.001,enb-cool.csv,9,-1,-1,101,100,-1
osrt,0.005,enb-cool.csv,9,-1,-1,101,100,-1
osrt,0.005,enb-cool.csv,9,-1,-1,101,100,-1
osrt,0.005,enb-cool.csv,9,-1,-1,101,100,-1
osrt,0.01,enb-cool.csv,9,6,0,57.195,100,6.659862977465983
osrt,0.01,enb-cool.csv,9,6,0,57.286,100,6.659862977465983
osrt,0.01,enb-cool.csv,9,6,0,78.369,100,6.659862977465983
osrt,0.1,enb-cool.csv,9,2,0,0.112,100,17.857295567864593
osrt,0.1,enb-cool.csv,9,2,0,0.193,100,17.857295567864593
osrt,0.1,enb-cool.csv,9,2,0,0.152,100,17.857295567864593
osrt,0.0001,enb-heat.csv,10,-1,-1,101,100,-1
osrt,0.0001,enb-heat.csv,10,-1,-1,101,100,-1
osrt,0.0001,enb-heat.csv,10,-1,-1,101,100,-1
osrt,0.001,enb-heat.csv,10,-1,-1,101,100,-1
osrt,0.001,enb-heat.csv,10,-1,-1,101,100,-1
osrt,0.001,enb-heat.csv,10,-1,-1,101,100,-1
osrt,0.005,enb-heat.csv,10,-1,-1,101,100,-1
osrt,0.005,enb-heat.csv,10,-1,-1,101,100,-1
osrt,0.005,enb-heat.csv,10,-1,-1,101,100,-1
osrt,0.01,enb-heat.csv,10,-1,-1,101,100,-1
osrt,0.01,enb-heat.csv,10,-1,-1,101,100,-1
osrt,0.01,enb-heat.csv,10,-1,-1,101,100,-1
osrt,0.1,enb-heat.csv,10,2,0,0.028,100,21.242173376172687
osrt,0.1,enb-heat.csv,10,2,0,0.071,100,21.242173376172687
osrt,0.1,enb-heat.csv,10,2,0,0.119,100,21.242173376172687
osrt,0.0001,enb-heat.csv,3,8,0,1.779,100,6.829505989242016
osrt,0.0001,enb-heat.csv,3,8,0,2.923,100,6.829505989242016
osrt,0.0001,enb-heat.csv,3,8,0,2.049,100,6.829505989242016
osrt,0.001,enb-heat.csv,3,8,0,1.26,100,6.829505989242016
osrt,0.001,enb-heat.csv,3,8,0,1.706,100,6.829505989242016
osrt,0.001,enb-heat.csv,3,8,0,1.333,100,6.829505989242016
osrt,0.005,enb-heat.csv,3,7,0,0.851,100,7.046240042634381
osrt,0.005,enb-heat.csv,3,7,0,0.887,100,7.046240042634381
osrt,0.005,enb-heat.csv,3,7,0,0.809,100,7.046240042634381
osrt,0.01,enb-heat.csv,3,6,0,0.692,100,7.939700272889475
osrt,0.01,enb-heat.csv,3,6,0,2.382,100,7.939700272889475
osrt,0.01,enb-heat.csv,3,6,0,0.688,100,7.939700272889475
osrt,0.1,enb-heat.csv,3,2,0,0.019,100,21.242173376172687
osrt,0.1,enb-heat.csv,3,2,0,0.125,100,21.242173376172687
osrt,0.1,enb-heat.csv,3,2,0,0.042,100,21.242173376172687
osrt,0.0001,enb-heat.csv,4,15,0,8.138,100,3.8192381179786974
osrt,0.0001,enb-heat.csv,4,15,0,8.069,100,3.8192381179786974
osrt,0.0001,enb-heat.csv,4,15,0,9.303,100,3.8192381179786974
osrt,0.001,enb-heat.csv,4,15,0,6.321,100,3.8192381179786974
osrt,0.001,enb-heat.csv,4,15,0,7.04,100,3.8192381179786974
osrt,0.001,enb-heat.csv,4,15,0,6.643,100,3.8192381179786974
osrt,0.005,enb-heat.csv,4,9,0,4.99,100,5.316373971008463
osrt,0.005,enb-heat.csv,4,9,0,4.914,100,5.316373971008463
osrt,0.005,enb-heat.csv,4,9,0,4.42,100,5.316373971008463
osrt,0.01,enb-heat.csv,4,7,0,3.715,100,6.822382646236353
osrt,0.01,enb-heat.csv,4,7,0,3.6,100,6.822382646236353
